Time,Mean measurement error,Mean measurement and model error,Mean estimated distance u-s1,Distance u-s1,All u_x,All u_y,All u_z,All u_hat_x,All u_hat_y,All u_hat_z
124,414.7287926833811,414.7287926833811,1535.0094179507319,1724.237418880515,5779643.416881568,3005050.0240199133,-2237145.307055858,5779691.060183805,3005093.2406951822,-2236964.9899740545
125,412.6569828250272,412.6569828250272,1540.4519335867585,1724.4131970045262,5782280.9657073105,3005241.414718559,-2230012.6606605602,5782327.546573315,3005283.7151483186,-2229836.815309369
126,416.4650318182806,416.4650318182806,1540.2447249667428,1724.5891645501201,5784911.456014521,3005429.136862561,-2222877.28444516,5784956.95630508,3005470.7729151743,-2222700.7966037113
127,409.5169878601119,409.5169878601119,1543.9048958761168,1724.7653313443222,5787534.989917299,3005613.197511624,-2215738.8998698946,5787579.9602393,3005654.3583948794,-2215565.8426410453
128,412.94126858054955,412.94126858054955,1543.20966853088,1724.9416808761114,5790151.353033202,3005793.5815885826,-2208598.0900200615,5790196.154804145,3005834.993130277,-2208423.992043954
129,412.4834799385872,412.4834799385872,1533.1521889045696,1725.1182179942903,5792760.647778418,3005970.2963098213,-2201454.576470464,5792807.957740389,3006014.0341766807,-2201270.905975884
130,411.9667966632928,411.9667966632928,1525.4800114829213,1725.2949429685018,5795362.870885911,3006143.34141732,-2194308.3679356067,5795411.804464912,3006188.4880684363,-2194116.7073244164
131,414.20540247626917,414.20540247626917,1525.2437589233662,1725.4718556935534,5797958.019097401,3006312.7166575706,-2187159.473133125,5798006.505881997,3006357.81370219,-2186968.4636153067
132,409.69455060721765,409.69455060721765,1543.7334224921892,1725.6489537685081,5800546.08916391,3006478.4217816237,-2180007.9007823407,5800590.439400152,3006519.755550979,-2179834.47020602
133,403.2631275863382,403.2631275863382,1542.3505693276868,1725.8262374654157,5803127.077843754,3006640.4565449534,-2172853.659609764,5803170.782861395,3006681.7087060087,-2172678.7481476534
